trial_id,Accuracy,FR_neuron2[AHL2],FR_neuron3[AHL2],FR_neuron4[AHL2],FR_neuron5[AHL2],FR_neuron6[AHL2],FR_neuron7[AHL2],FR_neuron8[AHL2],FR_neuron9[AHL2],FR_neuron10[AHL5],FR_neuron11[AHL5],FR_neuron12[AHL5],FR_neuron13[AHL5],FR_neuron14[AHL7],FR_neuron15[AHL7],FR_neuron16[AHL7],FR_neuron17[AHL8],FR_neuron18[AHL8],FR_neuron19[AHL8],FR_neuron20[AHL8],FR_neuron21[AHR2],FR_neuron22[AHR6],acc_bin
429,Incorrect,[0.0],[4.999999999999574],[1.2499999999998934],[0.0],[2.499999999999787],[1.2499999999998934],[0.0],[0.0],[1.2499999999998934],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],0
441,Correct,[1.2499999999998934],[4.999999999999574],[4.999999999999574],[0.0],[9.999999999999147],[1.2499999999998934],[0.0],[3.7499999999996803],[2.499999999999787],[0.0],[0.0],[1.2499999999998934],[0.0],[1.2499999999998934],[1.2499999999998934],[0.0],[6.249999999999467],[0.0],[0.0],[0.0],[0.0],1
477,Incorrect,[0.0],[0.0],[0.0],[0.0],[3.750000000000213],[1.250000000000071],[1.250000000000071],[1.250000000000071],[1.250000000000071],[0.0],[0.0],[1.250000000000071],[0.0],[0.0],[0.0],[0.0],[1.250000000000071],[0.0],[1.250000000000071],[0.0],[0.0],0
505,Correct,[0.0],[2.500000000000142],[1.250000000000071],[0.0],[15.000000000000853],[0.0],[6.250000000000355],[0.0],[0.0],[1.250000000000071],[0.0],[0.0],[2.500000000000142],[0.0],[1.250000000000071],[0.0],[6.250000000000355],[1.250000000000071],[1.250000000000071],[0.0],[0.0],1
509,Correct,[0.0],[2.500000000000142],[1.250000000000071],[0.0],[2.500000000000142],[0.0],[1.250000000000071],[1.250000000000071],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[2.500000000000142],[0.0],[0.0],[0.0],[1.250000000000071],[0.0],[0.0],1
513,Correct,[1.250000000000071],[2.500000000000142],[1.250000000000071],[0.0],[2.500000000000142],[0.0],[0.0],[0.0],[0.0],[0.0],[2.500000000000142],[0.0],[1.250000000000071],[0.0],[1.250000000000071],[1.250000000000071],[5.000000000000284],[0.0],[0.0],[0.0],[1.250000000000071],1
521,Correct,[0.0],[3.750000000000213],[3.750000000000213],[0.0],[10.000000000000568],[0.0],[3.750000000000213],[1.250000000000071],[3.750000000000213],[1.250000000000071],[0.0],[0.0],[0.0],[1.250000000000071],[0.0],[0.0],[1.250000000000071],[0.0],[0.0],[1.250000000000071],[0.0],1
537,Correct,[2.500000000000142],[2.500000000000142],[3.750000000000213],[0.0],[2.500000000000142],[1.250000000000071],[0.0],[0.0],[1.250000000000071],[0.0],[0.0],[2.500000000000142],[0.0],[1.250000000000071],[2.500000000000142],[0.0],[7.500000000000426],[3.750000000000213],[1.250000000000071],[0.0],[1.250000000000071],1
573,Correct,[0.0],[5.000000000000284],[0.0],[2.500000000000142],[3.750000000000213],[0.0],[0.0],[1.250000000000071],[2.500000000000142],[0.0],[0.0],[0.0],[1.250000000000071],[0.0],[1.250000000000071],[0.0],[5.000000000000284],[0.0],[0.0],[0.0],[0.0],1
601,Correct,[0.0],[1.250000000000071],[0.0],[0.0],[7.500000000000426],[0.0],[1.250000000000071],[1.250000000000071],[7.500000000000426],[0.0],[0.0],[0.0],[1.250000000000071],[0.0],[3.750000000000213],[0.0],[5.000000000000284],[0.0],[0.0],[1.250000000000071],[1.250000000000071],1
605,Incorrect,[0.0],[3.750000000000213],[5.000000000000284],[0.0],[7.500000000000426],[0.0],[2.500000000000142],[0.0],[7.500000000000426],[1.250000000000071],[0.0],[1.250000000000071],[2.500000000000142],[1.250000000000071],[2.500000000000142],[0.0],[1.250000000000071],[0.0],[0.0],[0.0],[1.250000000000071],0
609,Correct,[3.750000000000213],[0.0],[2.500000000000142],[0.0],[11.25000000000064],[0.0],[1.250000000000071],[1.250000000000071],[3.750000000000213],[0.0],[2.500000000000142],[2.500000000000142],[0.0],[1.250000000000071],[0.0],[2.500000000000142],[3.750000000000213],[0.0],[1.250000000000071],[0.0],[0.0],1
617,Correct,[7.500000000000426],[2.500000000000142],[0.0],[0.0],[6.250000000000355],[1.250000000000071],[5.000000000000284],[0.0],[3.750000000000213],[0.0],[0.0],[0.0],[0.0],[1.250000000000071],[0.0],[3.750000000000213],[3.750000000000213],[0.0],[0.0],[0.0],[0.0],1
633,Correct,[1.250000000000071],[1.250000000000071],[2.500000000000142],[0.0],[2.500000000000142],[1.250000000000071],[0.0],[0.0],[1.250000000000071],[0.0],[2.500000000000142],[0.0],[0.0],[1.250000000000071],[0.0],[0.0],[1.250000000000071],[0.0],[0.0],[0.0],[1.250000000000071],1
669,Correct,[0.0],[3.750000000000213],[3.750000000000213],[0.0],[16.250000000000924],[1.250000000000071],[0.0],[0.0],[5.000000000000284],[0.0],[0.0],[1.250000000000071],[1.250000000000071],[0.0],[1.250000000000071],[0.0],[1.250000000000071],[0.0],[0.0],[0.0],[0.0],1
697,Correct,[0.0],[1.250000000000071],[0.0],[0.0],[1.250000000000071],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[5.000000000000284],[0.0],[0.0],[0.0],[0.0],1
701,Correct,[0.0],[1.250000000000071],[1.250000000000071],[0.0],[7.500000000000426],[1.250000000000071],[0.0],[2.500000000000142],[8.750000000000497],[2.500000000000142],[0.0],[2.500000000000142],[3.750000000000213],[0.0],[0.0],[1.250000000000071],[6.250000000000355],[1.250000000000071],[0.0],[1.250000000000071],[1.250000000000071],1
709,Incorrect,[0.0],[2.500000000000142],[1.250000000000071],[0.0],[2.500000000000142],[0.0],[0.0],[0.0],[3.750000000000213],[0.0],[0.0],[1.250000000000071],[0.0],[0.0],[0.0],[0.0],[0.0],[2.500000000000142],[0.0],[1.250000000000071],[1.250000000000071],0
725,Correct,[0.0],[3.750000000000213],[2.500000000000142],[0.0],[0.0],[0.0],[0.0],[0.0],[1.250000000000071],[0.0],[0.0],[0.0],[1.250000000000071],[0.0],[0.0],[0.0],[1.250000000000071],[0.0],[0.0],[1.250000000000071],[1.250000000000071],1
