trial_id,Accuracy,FR_neuron27[ECL1],FR_neuron28[ECL1],FR_neuron29[ECL1],FR_neuron30[ECL1],FR_neuron31[ECL3],acc_bin
178,Correct,"[0.0, 10.0, 25.0, 5.0, 5.0]","[0.0, 0.0, 10.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[5.0, 5.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]",1
186,Correct,"[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 10.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]",1
198,Incorrect,"[5.0, 5.0, 20.0, 0.0, 15.0]","[5.0, 0.0, 0.0, 0.0, 5.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 5.0, 0.0, 5.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]",0
214,Incorrect,"[5.0, 10.0, 0.0, 10.0, 15.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[5.0, 5.0, 5.0, 5.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]",0
234,Correct,"[5.0, 5.0, 30.0, 25.0, 5.0]","[5.0, 5.0, 5.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 5.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]",1
250,Correct,"[0.0, 5.0, 5.0, 0.0, 5.0]","[0.0, 10.0, 0.0, 0.0, 5.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 5.0, 0.0, 0.0, 0.0]",1
274,Correct,"[20.0, 5.0, 5.0, 10.0, 10.0]","[5.0, 0.0, 0.0, 0.0, 5.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 5.0, 10.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]",1
282,Correct,"[0.0, 0.0, 40.0, 10.0, 5.0]","[20.0, 5.0, 0.0, 0.0, 5.0]","[5.0, 0.0, 0.0, 0.0, 0.0]","[5.0, 5.0, 10.0, 5.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]",1
294,Incorrect,"[5.0, 0.0, 20.0, 5.0, 5.0]","[0.0, 0.0, 0.0, 5.0, 0.0]","[0.0, 0.0, 5.0, 0.0, 0.0]","[0.0, 0.0, 5.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]",0
310,Incorrect,"[5.0, 5.0, 25.0, 25.0, 10.0]","[0.0, 0.0, 0.0, 5.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 5.0, 15.0, 10.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]",0
330,Incorrect,"[10.0, 15.0, 5.0, 25.0, 0.0]","[5.0, 25.0, 5.0, 10.0, 5.0]","[0.0, 0.0, 0.0, 5.0, 0.0]","[10.0, 0.0, 0.0, 5.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]",0
346,Correct,"[5.0, 5.0, 40.0, 5.0, 5.0]","[0.0, 0.0, 0.0, 0.0, 5.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[5.0, 0.0, 5.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]",1
370,Incorrect,"[0.0, 10.0, 5.0, 5.0, 0.0]","[0.0, 5.0, 5.0, 0.0, 0.0]","[5.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]",0
378,Correct,"[0.0, 10.0, 10.0, 5.0, 20.0]","[0.0, 10.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 15.0, 0.0]","[10.0, 5.0, 5.0, 15.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]",1
390,Incorrect,"[0.0, 0.0, 15.0, 20.0, 10.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 5.0, 0.0]",0
406,Correct,"[15.0, 10.0, 5.0, 0.0, 0.0]","[0.0, 10.0, 0.0, 15.0, 10.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 5.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]",1
