trial_id,Accuracy,FR_neuron2[AHL2],FR_neuron3[AHL2],FR_neuron4[AHL2],FR_neuron5[AHL2],FR_neuron6[AHL2],FR_neuron7[AHL2],FR_neuron8[AHL2],FR_neuron9[AHL2],FR_neuron10[AHL5],FR_neuron11[AHL5],FR_neuron12[AHL5],FR_neuron13[AHL5],FR_neuron14[AHL7],FR_neuron15[AHL7],FR_neuron16[AHL7],FR_neuron17[AHL8],FR_neuron18[AHL8],FR_neuron19[AHL8],FR_neuron20[AHL8],FR_neuron21[AHR2],FR_neuron22[AHR6],acc_bin
176,Correct,"[0.0, 0.0, 20.0, 0.0, 0.0]","[0.0, 5.0, 0.0, 0.0, 5.0]","[0.0, 0.0, 5.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 5.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 15.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[10.0, 10.0, 10.0, 10.0, 5.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 5.0, 0.0, 0.0]","[5.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 5.0, 10.0, 0.0, 15.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 5.0, 5.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 5.0, 0.0]",1
184,Correct,"[0.0, 0.0, 0.0, 0.0, 10.0]","[5.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 10.0]","[0.0, 0.0, 5.0, 5.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 5.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]",1
196,Incorrect,"[0.0, 0.0, 0.0, 0.0, 0.0]","[5.0, 5.0, 5.0, 5.0, 5.0]","[5.0, 5.0, 0.0, 5.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[15.0, 20.0, 10.0, 25.0, 15.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 15.0, 5.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 10.0, 0.0, 0.0, 10.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 5.0, 0.0, 10.0, 5.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 5.0, 0.0]","[5.0, 0.0, 0.0, 0.0, 0.0]","[15.0, 0.0, 0.0, 5.0, 0.0]","[5.0, 0.0, 0.0, 10.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 5.0, 0.0, 5.0, 0.0]",0
212,Incorrect,"[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 5.0, 0.0, 0.0]","[0.0, 0.0, 5.0, 5.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[10.0, 5.0, 0.0, 5.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 5.0, 5.0, 0.0, 0.0]","[0.0, 5.0, 5.0, 5.0, 0.0]","[0.0, 5.0, 0.0, 5.0, 0.0]","[0.0, 0.0, 0.0, 5.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[5.0, 5.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 10.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[5.0, 40.0, 0.0, 5.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]",0
232,Correct,"[0.0, 0.0, 0.0, 0.0, 0.0]","[5.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 10.0, 5.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 5.0, 15.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 10.0, 0.0, 0.0]","[0.0, 0.0, 5.0, 0.0, 0.0]","[5.0, 0.0, 0.0, 5.0, 0.0]","[0.0, 0.0, 5.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 5.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 5.0, 0.0, 0.0]","[0.0, 5.0, 5.0, 0.0, 0.0]","[0.0, 0.0, 5.0, 0.0, 0.0]","[0.0, 5.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 5.0, 0.0, 5.0, 0.0]",1
248,Correct,"[0.0, 0.0, 0.0, 10.0, 0.0]","[10.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 5.0, 0.0]","[0.0, 0.0, 0.0, 5.0, 0.0]","[0.0, 0.0, 0.0, 5.0, 0.0]","[0.0, 0.0, 5.0, 5.0, 0.0]","[0.0, 5.0, 0.0, 5.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[5.0, 5.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 10.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 5.0, 5.0, 0.0]","[0.0, 0.0, 0.0, 5.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 5.0, 0.0]","[10.0, 0.0, 0.0, 10.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[5.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]",1
272,Correct,"[0.0, 0.0, 0.0, 0.0, 0.0]","[5.0, 0.0, 0.0, 5.0, 0.0]","[5.0, 0.0, 0.0, 0.0, 5.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 5.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 5.0, 0.0, 5.0]","[0.0, 0.0, 5.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 5.0, 0.0]","[5.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 5.0, 0.0, 0.0, 5.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 5.0, 0.0, 0.0, 5.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 5.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]",1
280,Correct,"[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 15.0, 5.0, 10.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 5.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 5.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 5.0]","[0.0, 5.0, 5.0, 5.0, 10.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 5.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 5.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 15.0, 0.0, 5.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 5.0, 0.0, 0.0]",1
292,Incorrect,"[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 5.0, 5.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 5.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 5.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]",0
308,Incorrect,"[0.0, 0.0, 0.0, 0.0, 0.0]","[5.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 5.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[10.0, 5.0, 25.0, 15.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[10.0, 0.0, 0.0, 0.0, 0.0]","[5.0, 0.0, 0.0, 0.0, 0.0]","[10.0, 0.0, 5.0, 5.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[10.0, 5.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[5.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[5.0, 0.0, 20.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 5.0, 5.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]",0
328,Incorrect,"[0.0, 0.0, 0.0, 10.0, 0.0]","[5.0, 5.0, 5.0, 0.0, 5.0]","[0.0, 0.0, 0.0, 0.0, 5.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 10.0, 0.0, 15.0, 0.0]","[0.0, 0.0, 0.0, 10.0, 0.0]","[5.0, 0.0, 0.0, 5.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[5.0, 5.0, 0.0, 15.0, 0.0]","[0.0, 0.0, 5.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 10.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[5.0, 0.0, 0.0, 10.0, 0.0]","[0.0, 0.0, 0.0, 10.0, 0.0]","[0.0, 0.0, 0.0, 5.0, 0.0]","[0.0, 0.0, 0.0, 5.0, 0.0]","[0.0, 0.0, 0.0, 25.0, 5.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 5.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 5.0, 0.0, 5.0, 0.0]",0
344,Correct,"[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 25.0]","[5.0, 0.0, 0.0, 0.0, 5.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 15.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 5.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 5.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 5.0, 5.0, 0.0]",1
368,Incorrect,"[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 5.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[5.0, 0.0, 0.0, 5.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 5.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 25.0, 0.0, 0.0, 15.0]","[0.0, 10.0, 5.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]",0
